,c,h,l,o,volume,time
0,112.592,112.692,112.582,112.666,749,2018-01-01T22:00:00.000000000Z
1,112.773,112.790,112.594,112.594,1220,2018-01-01T23:00:00.000000000Z
2,112.736,112.793,112.722,112.775,381,2018-01-02T00:00:00.000000000Z
3,112.723,112.752,112.659,112.738,618,2018-01-02T01:00:00.000000000Z
4,112.714,112.751,112.704,112.720,319,2018-01-02T02:00:00.000000000Z
5,112.702,112.721,112.666,112.712,251,2018-01-02T03:00:00.000000000Z
6,112.710,112.730,112.694,112.705,197,2018-01-02T04:00:00.000000000Z
7,112.688,112.739,112.667,112.712,242,2018-01-02T05:00:00.000000000Z
8,112.666,112.700,112.649,112.691,367,2018-01-02T06:00:00.000000000Z
9,112.631,112.687,112.612,112.669,545,2018-01-02T07:00:00.000000000Z
10,112.386,112.638,112.378,112.628,837,2018-01-02T08:00:00.000000000Z
11,112.252,112.402,112.249,112.384,477,2018-01-02T09:00:00.000000000Z
12,112.139,112.282,112.119,112.254,609,2018-01-02T10:00:00.000000000Z
13,112.232,112.234,112.134,112.141,315,2018-01-02T11:00:00.000000000Z
14,112.164,112.236,112.144,112.234,369,2018-01-02T12:00:00.000000000Z
15,112.124,112.188,112.086,112.162,763,2018-01-02T13:00:00.000000000Z
16,112.232,112.248,112.058,112.122,1009,2018-01-02T14:00:00.000000000Z
17,112.150,112.270,112.132,112.230,1227,2018-01-02T15:00:00.000000000Z
18,112.173,112.261,112.099,112.152,984,2018-01-02T16:00:00.000000000Z
19,112.285,112.304,112.166,112.176,561,2018-01-02T17:00:00.000000000Z
20,112.337,112.354,112.268,112.288,390,2018-01-02T18:00:00.000000000Z
21,112.258,112.345,112.256,112.334,300,2018-01-02T19:00:00.000000000Z
22,112.273,112.284,112.244,112.260,352,2018-01-02T20:00:00.000000000Z
23,112.291,112.322,112.252,112.270,226,2018-01-02T21:00:00.000000000Z
24,112.230,112.366,112.221,112.284,809,2018-01-02T22:00:00.000000000Z
25,112.256,112.282,112.174,112.228,603,2018-01-02T23:00:00.000000000Z
26,112.340,112.362,112.218,112.258,716,2018-01-03T00:00:00.000000000Z
27,112.319,112.358,112.268,112.338,436,2018-01-03T01:00:00.000000000Z
28,112.384,112.396,112.306,112.316,371,2018-01-03T02:00:00.000000000Z
29,112.342,112.388,112.326,112.386,207,2018-01-03T03:00:00.000000000Z
30,112.327,112.348,112.266,112.344,169,2018-01-03T04:00:00.000000000Z
31,112.280,112.332,112.270,112.324,226,2018-01-03T05:00:00.000000000Z
32,112.304,112.314,112.240,112.278,308,2018-01-03T06:00:00.000000000Z
33,112.354,112.392,112.296,112.302,540,2018-01-03T07:00:00.000000000Z
34,112.345,112.380,112.298,112.356,534,2018-01-03T08:00:00.000000000Z
35,112.300,112.362,112.294,112.348,341,2018-01-03T09:00:00.000000000Z
36,112.250,112.327,112.214,112.298,526,2018-01-03T10:00:00.000000000Z
37,112.236,112.282,112.226,112.248,466,2018-01-03T11:00:00.000000000Z
38,112.259,112.281,112.198,112.234,375,2018-01-03T12:00:00.000000000Z
39,112.230,112.275,112.222,112.256,472,2018-01-03T13:00:00.000000000Z
40,112.230,112.281,112.195,112.232,629,2018-01-03T14:00:00.000000000Z
41,112.397,112.500,112.232,112.232,1421,2018-01-03T15:00:00.000000000Z
42,112.292,112.400,112.280,112.400,561,2018-01-03T16:00:00.000000000Z
43,112.334,112.364,112.276,112.289,333,2018-01-03T17:00:00.000000000Z
44,112.316,112.360,112.304,112.336,250,2018-01-03T18:00:00.000000000Z
45,112.527,112.609,112.301,112.314,1557,2018-01-03T19:00:00.000000000Z
46,112.462,112.526,112.412,112.524,579,2018-01-03T20:00:00.000000000Z
47,112.509,112.525,112.445,112.464,306,2018-01-03T21:00:00.000000000Z
48,112.546,112.564,112.480,112.509,502,2018-01-03T22:00:00.000000000Z
49,112.609,112.624,112.534,112.548,340,2018-01-03T23:00:00.000000000Z
50,112.685,112.728,112.610,112.612,789,2018-01-04T00:00:00.000000000Z
51,112.728,112.778,112.683,112.687,637,2018-01-04T01:00:00.000000000Z
52,112.646,112.731,112.641,112.731,616,2018-01-04T02:00:00.000000000Z
53,112.665,112.692,112.641,112.648,301,2018-01-04T03:00:00.000000000Z
54,112.652,112.670,112.618,112.662,328,2018-01-04T04:00:00.000000000Z
55,112.661,112.668,112.622,112.656,315,2018-01-04T05:00:00.000000000Z
56,112.540,112.661,112.491,112.658,631,2018-01-04T06:00:00.000000000Z
57,112.582,112.592,112.520,112.538,551,2018-01-04T07:00:00.000000000Z
58,112.623,112.673,112.582,112.584,642,2018-01-04T08:00:00.000000000Z
59,112.546,112.640,112.542,112.625,502,2018-01-04T09:00:00.000000000Z
60,112.563,112.602,112.529,112.549,473,2018-01-04T10:00:00.000000000Z
61,112.602,112.616,112.544,112.565,495,2018-01-04T11:00:00.000000000Z
62,112.621,112.652,112.600,112.604,378,2018-01-04T12:00:00.000000000Z
63,112.828,112.845,112.620,112.623,1476,2018-01-04T13:00:00.000000000Z
64,112.822,112.836,112.755,112.831,857,2018-01-04T14:00:00.000000000Z
65,112.774,112.856,112.761,112.824,859,2018-01-04T15:00:00.000000000Z
66,112.790,112.864,112.750,112.776,777,2018-01-04T16:00:00.000000000Z
67,112.768,112.852,112.758,112.788,494,2018-01-04T17:00:00.000000000Z
68,112.826,112.838,112.759,112.770,485,2018-01-04T18:00:00.000000000Z
69,112.751,112.831,112.725,112.823,595,2018-01-04T19:00:00.000000000Z
70,112.732,112.781,112.713,112.748,495,2018-01-04T20:00:00.000000000Z
71,112.750,112.754,112.713,112.730,326,2018-01-04T21:00:00.000000000Z
72,112.778,112.790,112.733,112.750,210,2018-01-04T22:00:00.000000000Z
73,112.804,112.804,112.770,112.780,250,2018-01-04T23:00:00.000000000Z
74,112.772,112.806,112.730,112.806,710,2018-01-05T00:00:00.000000000Z
75,112.774,112.792,112.746,112.770,393,2018-01-05T01:00:00.000000000Z
76,112.846,112.847,112.725,112.776,781,2018-01-05T02:00:00.000000000Z
77,112.833,112.852,112.808,112.848,243,2018-01-05T03:00:00.000000000Z
78,112.878,112.884,112.828,112.831,270,2018-01-05T04:00:00.000000000Z
79,112.998,113.001,112.880,112.880,504,2018-01-05T05:00:00.000000000Z
80,113.079,113.113,112.984,112.996,622,2018-01-05T06:00:00.000000000Z
81,113.146,113.156,113.040,113.082,381,2018-01-05T07:00:00.000000000Z
82,113.212,113.238,113.140,113.149,677,2018-01-05T08:00:00.000000000Z
83,113.226,113.239,113.161,113.210,404,2018-01-05T09:00:00.000000000Z
84,113.236,113.241,113.170,113.224,497,2018-01-05T10:00:00.000000000Z
85,113.232,113.288,113.222,113.238,307,2018-01-05T11:00:00.000000000Z
86,113.242,113.254,113.210,113.234,404,2018-01-05T12:00:00.000000000Z
87,113.215,113.312,113.021,113.239,2873,2018-01-05T13:00:00.000000000Z
88,113.258,113.276,113.148,113.213,1563,2018-01-05T14:00:00.000000000Z
89,113.230,113.271,113.082,113.256,1298,2018-01-05T15:00:00.000000000Z
90,113.184,113.242,113.136,113.228,564,2018-01-05T16:00:00.000000000Z
91,113.160,113.222,113.148,113.186,419,2018-01-05T17:00:00.000000000Z
92,113.167,113.192,113.142,113.162,216,2018-01-05T18:00:00.000000000Z
93,113.142,113.170,113.125,113.170,275,2018-01-05T19:00:00.000000000Z
94,113.111,113.148,113.111,113.144,219,2018-01-05T20:00:00.000000000Z
95,113.057,113.130,113.032,113.108,420,2018-01-05T21:00:00.000000000Z
96,113.120,113.150,113.028,113.131,946,2018-01-07T22:00:00.000000000Z
97,113.160,113.182,113.096,113.118,424,2018-01-07T23:00:00.000000000Z
98,113.098,113.158,113.098,113.158,212,2018-01-08T00:00:00.000000000Z
99,113.131,113.158,113.081,113.096,382,2018-01-08T01:00:00.000000000Z
100,113.180,113.202,113.114,113.128,248,2018-01-08T02:00:00.000000000Z
101,113.180,113.202,113.167,113.178,111,2018-01-08T03:00:00.000000000Z
102,113.198,113.200,113.175,113.177,119,2018-01-08T04:00:00.000000000Z
103,113.230,113.274,113.199,113.200,240,2018-01-08T05:00:00.000000000Z
104,113.213,113.240,113.204,113.232,176,2018-01-08T06:00:00.000000000Z
105,113.374,113.387,113.215,113.215,486,2018-01-08T07:00:00.000000000Z
106,113.240,113.377,113.229,113.377,570,2018-01-08T08:00:00.000000000Z
107,113.162,113.248,113.119,113.237,358,2018-01-08T09:00:00.000000000Z
108,113.126,113.167,113.079,113.159,377,2018-01-08T10:00:00.000000000Z
109,113.105,113.156,113.099,113.124,356,2018-01-08T11:00:00.000000000Z
110,113.062,113.103,113.001,113.103,694,2018-01-08T12:00:00.000000000Z
111,112.930,113.080,112.884,113.065,767,2018-01-08T13:00:00.000000000Z
112,112.981,113.007,112.904,112.928,682,2018-01-08T14:00:00.000000000Z
